,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,nandurbar,-33.8679,151.2073,55.35,64,75,23.0,AU,1627145517
182,nandurbar,65.6145,-37.6368,42.96,98,100,1.88,GL,1627145170
183,nandurbar,54.6025,61.231,62.29,71,92,7.49,RU,1627145518
184,nandurbar,68.0531,39.5131,48.85,85,100,19.95,RU,1627145375
185,nandurbar,41.2647,125.3667,69.6,93,68,1.77,CN,1627145483
186,nandurbar,69.2167,-51.1,44.62,76,75,14.97,GL,1627145202
187,nandurbar,50.6789,156.125,53.91,96,76,2.44,RU,1627145179
188,nandurbar,-14.9003,50.2788,67.82,78,8,9.69,MG,1627145520
189,nandurbar,26.5412,-77.0636,78.89,80,100,13.51,BS,1627145521
190,nandurbar,-37.6167,-73.65,52.54,70,23,10.42,CL,1627145427
191,nandurbar,70.6333,147.9167,34.61,92,19,11.32,RU,1627145399
192,nandurbar,-29.6842,-53.8069,81.7,34,0,5.75,BR,1627145395
193,nandurbar,6.1241,81.1185,80.35,80,83,15.28,LK,1627145521
194,nandurbar,25.5198,90.2201,76.19,94,47,5.66,IN,1627145522
195,nandurbar,60.7161,-135.0538,56.17,58,75,13.0,CA,1627145435
196,nandurbar,64.8569,-147.8028,61.59,94,90,4.61,US,1627145468
197,nandurbar,-45.5752,-72.0662,36.21,93,75,3.44,CL,1627145517
198,nandurbar,32.3502,-85.1999,90.0,67,1,0.0,US,1627145523
199,nandurbar,13.0667,-59.5333,86.09,74,75,14.97,BB,1627145523
200,nandurbar,15.85,-97.0667,87.89,55,97,7.31,MX,1627145443
201,nandurbar,60.9058,61.5186,54.46,93,94,7.4,RU,1627145524
202,nandurbar,-23.3967,-45.8839,76.26,35,0,2.3,BR,1627145418
203,nandurbar,49.5786,42.736,71.91,51,39,9.73,RU,1627145524
204,nandurbar,61.2767,108.0108,61.83,73,63,3.6,RU,1627145525
205,nandurbar,-16.4419,-51.1178,87.39,22,0,6.46,BR,1627145525
206,nandurbar,5.3833,-52.95,83.64,72,71,12.55,GF,1627145249
207,nandurbar,-7.3,27.4167,84.27,22,3,9.17,CD,1627145526
208,nandurbar,49.5194,5.7688,69.55,85,74,9.93,FR,1627145527
